Roll Number,dist_to_grocer_m,grocer_chain,grocer_store,grocer_id
9010129200,1725.349578763203,Safeway,Safeway Transcona,12
9010387600,1836.719232942913,Safeway,Safeway Transcona,12
9010350600,1763.8272646229689,Safeway,Safeway Transcona,12
9010350500,1761.5956482112563,Safeway,Safeway Transcona,12
9010474745,1972.3067568128836,Safeway,Safeway Transcona,12
9010350400,1758.6135658516944,Safeway,Safeway Transcona,12
9010142200,1729.641925143305,Safeway,Safeway Transcona,12
9010390400,1868.1503660725741,Safeway,Safeway Transcona,12
9010036400,1711.6441741323104,Safeway,Safeway Transcona,12
9010358900,1764.3514167105202,Safeway,Safeway Transcona,12
9010474685,1909.1092552572702,Safeway,Safeway Transcona,12
9010474960,2017.974908363868,Safeway,Safeway Transcona,12
9010365600,1802.7573187278624,Safeway,Safeway Transcona,12
9010391100,1810.8766811839926,Safeway,Safeway Transcona,12
9010350700,1765.3388767559836,Safeway,Safeway Transcona,12
9010355600,1752.3868231886784,Safeway,Safeway Transcona,12
9010307000,1708.8716060356433,Safeway,Safeway Transcona,12
9010363200,1769.7824199726433,Safeway,Safeway Transcona,12
9010355900,1716.6313499742557,Safeway,Safeway Transcona,12
9010366600,1785.2470653391076,Safeway,Safeway Transcona,12
9010474750,1968.726907805116,Safeway,Safeway Transcona,12
9010474505,1876.991806173152,Safeway,Safeway Transcona,12
9010353900,1724.5007701955637,Safeway,Safeway Transcona,12
9010367800,1781.2824903940818,Safeway,Safeway Transcona,12
9010141600,1738.3497894675068,Safeway,Safeway Transcona,12
9010388800,1838.201583742712,Safeway,Safeway Transcona,12
9010036200,1702.1987458819663,Safeway,Safeway Transcona,12
9010350300,1752.1711414638883,Safeway,Safeway Transcona,12
9010474965,2016.143300863952,Safeway,Safeway Transcona,12
9010391000,1794.2263468964773,Safeway,Safeway Transcona,12
9010359000,1751.6134603282019,Safeway,Safeway Transcona,12
9010307700,1721.0755463657795,Safeway,Safeway Transcona,12
9010307600,1707.4916213171962,Safeway,Safeway Transcona,12
9010390300,1856.0982271000792,Safeway,Safeway Transcona,12
9010363100,1756.576646219304,Safeway,Safeway Transcona,12
9010474680,1897.2577052215406,Safeway,Safeway Transcona,12
9010126000,1716.5244992601263,Safeway,Safeway Transcona,12
9010365700,1790.6056612719685,Safeway,Safeway Transcona,12
9010127800,1676.0035413624335,Safeway,Safeway Transcona,12
9010366500,1773.3729653001835,Safeway,Safeway Transcona,12
9010474755,1962.9790744961372,Safeway,Safeway Transcona,12
9010140400,1699.1493045081515,Safeway,Safeway Transcona,12
9010141800,1733.8354769949992,Safeway,Safeway Transcona,12
9010328700,1718.9460832102586,Safeway,Safeway Transcona,12
9010328800,1721.4555379266162,Safeway,Safeway Transcona,12
9010328600,1715.715893466064,Safeway,Safeway Transcona,12
9010036000,1692.7533604855714,Safeway,Safeway Transcona,12
9010474970,2014.6276425672036,Safeway,Safeway Transcona,12
9010142600,1718.921734032855,Safeway,Safeway Transcona,12
9010474500,1865.8772940810288,Safeway,Safeway Transcona,12
9010306900,1695.5021861135394,Safeway,Safeway Transcona,12
9010328400,1684.9295483087676,Safeway,Safeway Transcona,12
9010387500,1824.096866619595,Safeway,Safeway Transcona,12
9010367900,1767.6526239522038,Safeway,Safeway Transcona,12
9010328900,1710.2381098691549,Safeway,Safeway Transcona,12
9010388900,1826.587488331665,Safeway,Safeway Transcona,12
9010355800,1704.383137872029,Safeway,Safeway Transcona,12
9010363000,1743.6849852453295,Safeway,Safeway Transcona,12
9010128600,1701.6790857392473,Safeway,Safeway Transcona,12
9010366400,1760.5254536771156,Safeway,Safeway Transcona,12
9010142000,1732.1882851660541,Safeway,Safeway Transcona,12
9010390200,1844.3404076655584,Safeway,Safeway Transcona,12
9010478075,2015.823665269354,Safeway,Safeway Transcona,12
9010329000,1691.2784836634564,Safeway,Safeway Transcona,12
9010365800,1775.6662241940335,Safeway,Safeway Transcona,12
9010035800,1682.6933020696633,Safeway,Safeway Transcona,12
9010142400,1728.2694970367795,Safeway,Safeway Transcona,12
9010168300,1721.044867185115,Safeway,Safeway Transcona,12
9010387400,1810.5323261577753,Safeway,Safeway Transcona,12
9010474495,1854.495731580783,Safeway,Safeway Transcona,12
9010478070,2019.82290981745,Safeway,Safeway Transcona,12
9010125800,1698.1754637908448,Safeway,Safeway Transcona,12
9010125600,1682.1564208677576,Safeway,Safeway Transcona,12
