X,Y,name,store_name,street,city,province,postal_cod,country,source,result_num,osm_id,display_na,category,type,latlong,audit_corrected
-97.1996091,49.8932039,Giant Tiger,Giant Tiger,1450 Ellice Avenue,Winnipeg,Manitoba,R3G 0G4,Canada,giant tiger website,0,6606392147,"Giant Tiger, 1450, Ellice Avenue, Polo Park, St. James Industrial, St. James, Winnipeg, Manitoba, R3G 0G4, Canada",shop,department_store,"49.8932039,-97.1996091",n
-97.15926198,49.9451652,Giant Tiger,Giant Tiger,940 Jefferson Avenue,Winnipeg,Manitoba,R2P 1W1,Canada,giant tiger website,0,231959638,"Giant Tiger, 940, Jefferson Avenue, Leila–McPhillips Triangle, Old Kildonan, Winnipeg, Manitoba, R2V 3C5, Canada",building,retail,"49.945165200000005,-97.15926197892001",n
-97.0669312,49.8540995,Giant Tiger,Giant Tiger,225 Vermillion Road,Winnipeg,Manitoba,R2J 3Z7,Canada,giant tiger website,0,238523814,"Giant Tiger, 225, Vermillion Road, Southdale, St. Boniface, Winnipeg, Manitoba, R2J 3Z7, Canada",shop,department_store,"49.854099500000004,-97.06693120418704",n
-97.0298152,49.8939378,Giant Tiger,Giant Tiger,838 Regent Avenue West,Winnipeg,Manitoba,R2C 3A8,Canada,giant tiger website,0,819205529,"838, Regent Avenue West, Regent, Transcona, Winnipeg, Manitoba, R2C 5C6, Canada",building,yes,"49.8939378,-97.02981519818107",n
-97.15424211,49.81144235,Giant Tiger,Giant Tiger,2195 Pembina Highway,Winnipeg,Manitoba,R3T 5S9,Canada,giant tiger website,0,61727236,"2195, Pembina Highway, Montcalm, Winnipeg, Manitoba, R3T 5J3, Canada",building,yes,"49.81144235,-97.15424211434672",n
-97.2962396,49.8809649,Giant Tiger,Giant Tiger,3332 Portage Avenue,Winnipeg,Manitoba,R3K 0Z1,Canada,giant tiger website,0,12631510393,"Giant Tiger, 3332, Portage Avenue, Westwood, Charleswood - Tuxedo - Westwood, Winnipeg, Manitoba, R3K 0Z1, Canada",shop,department_store,"49.8809649,-97.2962396",n
-97.2998362,49.8920755,Food fare,Food fare,839 Cavalier Drive,Winnipeg,Manitoba,,Canada,https://foodfare.com/#,0,2393053202,"Food Fare, 839, Cavalier Drive, Crestview, St. James, Winnipeg, Manitoba, R2Y 0C9, Canada",shop,supermarket,"49.8920755,-97.2998362",n
-97.15681041,49.8698429,Food fare,Food fare,247 Lilac Street,Winnipeg,Manitoba,,Canada,https://foodfare.com/#,0,116894789,"Foodfare, 247, Lilac Street, McMillan, Fort Rouge–East Fort Garry, Winnipeg, Manitoba, R3M 2S1, Canada",shop,supermarket,"49.8698429,-97.15681040625114",n
-97.1605564,49.8819773,Food fare,Food fare,115 Maryland Street,Winnipeg,Manitoba,,Canada,https://foodfare.com/#,0,73320183,"Food Fare, 115, Maryland Street, West Broadway, Fort Rouge–East Fort Garry, Daniel McIntyre, Winnipeg, Manitoba, R3G 1A5, Canada",shop,supermarket,"49.881977299999996,-97.16055639999999",n
-97.17026981,49.885692,Food fare,Food fare,905 Portage Avenue,Winnipeg,Manitoba,,Canada,https://foodfare.com/#,0,102025384,"Foodfare, 905, Portage Avenue, St. Matthews, West End, Daniel McIntyre, Winnipeg, Manitoba, R3G 2A7, Canada",shop,supermarket,"49.885692,-97.17026980623137",n
-97.245055,49.8767222,Food fare,Food fare,2285 Portage Avenue,Winnipeg,Manitoba,,Canada,https://foodfare.com/#,0,96614973,"Silver Heights Shopping Centre, 2285, Portage Avenue, Silver Heights, St. James, Winnipeg, Manitoba, R3J 0M2, Canada",building,retail,"49.876722199999996,-97.245055",n
-97.1410556,49.8883683,Family Foods,Downtown Family Foods,120 Donald Street,Winnipeg,Manitoba,R3C 4G2,Canada,https://familyfoods.ca/store-locator/manitoba/,0,33163875,"Broadview Manor, 120, Donald Street, South Portage, Fort Rouge–East Fort Garry, Winnipeg, Manitoba, R3C 1M1, Canada",building,residential,"49.888368299999996,-97.1410556",n
-97.2193455,49.8795701,Family Foods,Portage Avenue Family Foods,1881 Portage Avenue,Winnipeg,Manitoba,R3J 0H3,Canada,https://familyfoods.ca/store-locator/manitoba/,0,72942375,"Family Foods, 1881, Portage Avenue, King Edward, St. James, Winnipeg, Manitoba, R3J 0H3, Canada",shop,supermarket,"49.879570099999995,-97.21934550441966",n
